88,,BLACK,629-634,6,ATTENDANCE RATE DISTRICT %,F5.1,629,634,,,,,
89,,BLACK,635-640,6,ATTENDANCE RATE STATE %,F5.1,635,640,,,,,
90,,HISPANIC,641-646,6,ATTENDANCE RATE SCHOOL %,F5.1,641,646,,,,,
91,,HISPANIC,647-652,6,ATTENDANCE RATE SUBREGION %,F5.1,647,652,,,,,
92,,HISPANIC,653-658,6,ATTENDANCE RATE DISTRICT %,F5.1,653,658,,,,,
93,,HISPANIC,659-664,6,ATTENDANCE RATE STATE %,F5.1,659,664,,,,,
94,,ASIAN,665-670,6,ATTENDANCE RATE SCHOOL %,F5.1,665,670,,,,,
95,,ASIAN,671-676,6,ATTENDANCE RATE SUBREGION %,F5.1,671,676,,,,,
96,,ASIAN,677-682,6,ATTENDANCE RATE DISTRICT %,F5.1,677,682,,,,,
97,,ASIAN,683-688,6,ATTENDANCE RATE STATE %,F5.1,683,688,,,,,
98,,NATIVE HAWAIIAN AND OTHERS,689-694,6,ATTENDANCE RATE SCHOOL %,F5.1,689,694,,,,,
99,,NATIVE HAWAIIAN AND OTHERS,695-700,6,ATTENDANCE RATE SUBREGION %,F5.1,695,700,,,,,
100,,NATIVE HAWAIIAN AND OTHERS,701-706,6,ATTENDANCE RATE DISTRICT %,F5.1,701,706,,,,,
101,,NATIVE HAWAIIAN AND OTHERS,707-712,6,ATTENDANCE RATE STATE %,F5.1,707,712,,,,,
102,,NATIVE AMERICAN,713-718,6,ATTENDANCE RATE SCHOOL %,F5.1,713,718,,,,,
103,,NATIVE AMERICAN,719-724,6,ATTENDANCE RATE SUBREGION %,F5.1,719,724,,,,,
104,,NATIVE AMERICAN,725-730,6,ATTENDANCE RATE DISTRICT %,F5.1,725,730,,,,,
105,,NATIVE AMERICAN,731-736,6,ATTENDANCE RATE STATE %,F5.1,731,736,,,,,
106,,TWO OR MORE RACES,737-742,6,ATTENDANCE RATE SCHOOL %,F5.1,737,742,,,,,
107,,TWO OR MORE RACES,743-748,6,ATTENDANCE RATE SUBREGION %,F5.1,743,748,,,,,
108,,TWO OR MORE RACES,749-754,6,ATTENDANCE RATE DISTRICT %,F5.1,749,754,,,,,
109,,TWO OR MORE RACES,755-760,6,ATTENDANCE RATE STATE %,F5.1,755,760,,,,,
110,,LEP,761-766,6,ATTENDANCE RATE SCHOOL %,F5.1,761,766,,,,,
111,,LEP,767-772,6,ATTENDANCE RATE SUBREGION %,F5.1,767,772,,,,,
112,,LEP,773-778,6,ATTENDANCE RATE DISTRICT %,F5.1,773,778,,,,,
113,,LEP,779-784,6,ATTENDANCE RATE STATE %,F5.1,779,784,,,,,
114,,MIGRANT,785-790,6,ATTENDANCE RATE SCHOOL %,F5.1,785,790,,,,,
115,,MIGRANT,791-796,6,ATTENDANCE RATE SUBREGION %,F5.1,791,796,,,,,
116,,MIGRANT,797-802,6,ATTENDANCE RATE DISTRICT %,F5.1,797,802,,,,,
117,,MIGRANT,803-808,6,ATTENDANCE RATE STATE %,F5.1,803,808,,,,,
118,,IEP,809-814,6,ATTENDANCE RATE SCHOOL %,F5.1,809,814,,,,,
119,,IEP,815-820,6,ATTENDANCE RATE SUBREGION %,F5.1,815,820,,,,,
120,,IEP,821-826,6,ATTENDANCE RATE DISTRICT %,F5.1,821,826,,,,,
121,,IEP,827-832,6,ATTENDANCE RATE STATE %,F5.1,827,832,,,,,
122,,LOW INCOME,833-838,6,ATTENDANCE RATE SCHOOL %,F5.1,833,838,,,,,
123,,LOW INCOME,839-844,6,ATTENDANCE RATE SUBREGION %,F5.1,839,844,,,,,
124,,LOW INCOME,845-850,6,ATTENDANCE RATE DISTRICT %,F5.1,845,850,,,,,
125,,LOW INCOME,851-856,6,ATTENDANCE RATE STATE %,F5.1,851,856,,,,,
126,,,857-862,6,MOBILITY RATE SCHOOL %,F5.1,857,862,,,,,
127,,,863-868,6,MOBILITY RATE SUBREGION %,F5.1,863,868,,,,,
128,,,869-874,6,MOBILITY RATE DISTRICT %,F5.1,869,874,,,,,
129,,,875-880,6,MOBILITY RATE STATE %,F5.1,875,880,,,,,
130,,,881-886,6,CHRONIC TRUANTS # - SCHOOL,COMMA5,881,886,,,,,
131,,,887-893,7,CHRONIC TRUANTS  #- SUBREGION,COMMA6,887,893,,,,,
132,,,894-900,7,CHRONIC TRUANTS  #- DISTRICT,COMMA6,894,900,,,,,
133,,,901-907,7,CHRONIC TRUANTS  #- STATE,COMMA6,901,907,,,,,
134,,,908-913,6,CHRONIC TRUANTS RATE SCHOOL %,F5.1,908,913,,,,,
135,,,914-919,6,CHRONIC TRUANTS RATE SUBREGION %,F5.1,914,919,,,,,
136,,,920-925,6,CHRONIC TRUANTS RATE DISTRICT %,F5.1,920,925,,,,,
137,,,926-931,6,CHRONIC TRUANTS RATE STATE %,F5.1,926,931,,,,,
138,,,932-937,6,DROPOUT RATE  SCHOOL %,F5.1,932,937,,,,,
139,,,938-943,6,DROPOUT RATE SUBREGION %,F5.1,938,943,,,,,
140,,,944-949,6,DROPOUT RATE DISTRICT % ,F5.1,944,949,,,,,
141,,,950-955,6,DROPOUT RATE STATE % ,F5.1,950,955,,,,,
142,,ALL,956-961,6,HS 4-YEAR GRAD RATE SCHOOL %,F5.1,956,961,,,,,
143,,ALL,962-967,6,HS 4-YEAR GRAD RATE SUBREGION %,F5.1,962,967,,,,,
144,,ALL,968-973,6,HS 4-YEAR GRAD RATE DISTRICT %,F5.1,968,973,,,,,
145,,ALL,974-979,6,HS 4-YEAR GRAD RATE STATE % ,F5.1,974,979,,,,,
146,,MALE,980-985,6,HS 4-YEAR GRAD RATE SCHOOL %,F5.1,980,985,,,,,
147,,MALE,986-991,6,HS 4-YEAR GRAD RATE SUBREGION %,F5.1,986,991,,,,,
148,,MALE,992-997,6,HS 4-YEAR GRAD RATE DISTRICT %,F5.1,992,997,,,,,
149,,MALE,998-1003,6,HS 4-YEAR GRAD RATE STATE % ,F5.1,998,1003,,,,,
150,,FEMALE,1004-1009,6,HS 4-YEAR GRAD RATE SCHOOL %,F5.1,1004,1009,,,,,
151,,FEMALE,1010-1015,6,HS 4-YEAR GRAD RATE SUBREGION %,F5.1,1010,1015,,,,,
152,,FEMALE,1016-1021,6,HS 4-YEAR GRAD RATE DISTRICT %,F5.1,1016,1021,,,,,
153,,FEMALE,1022-1027,6,HS 4-YEAR GRAD RATE STATE % ,F5.1,1022,1027,,,,,
154,,WHITE,1028-1033,6,HS 4-YEAR GRAD RATE SCHOOL %,F5.1,1028,1033,,,,,
155,,WHITE,1034-1039,6,HS 4-YEAR GRAD RATE SUBREGION %,F5.1,1034,1039,,,,,
156,,WHITE,1040-1045,6,HS 4-YEAR GRAD RATE DISTRICT %,F5.1,1040,1045,,,,,
157,,WHITE,1046-1051,6,HS 4-YEAR GRAD RATE STATE % ,F5.1,1046,1051,,,,,
158,,BLACK,1052-1057,6,HS 4-YEAR GRAD RATE SCHOOL %,F5.1,1052,1057,,,,,
159,,BLACK,1058-1063,6,HS 4-YEAR GRAD RATE SUBREGION %,F5.1,1058,1063,,,,,
160,,BLACK,1064-1069,6,HS 4-YEAR GRAD RATE DISTRICT %,F5.1,1064,1069,,,,,
161,,BLACK,1070-1075,6,HS 4-YEAR GRAD RATE STATE % ,F5.1,1070,1075,,,,,
162,,HISPANIC,1076-1081,6,HS 4-YEAR GRAD RATE SCHOOL %,F5.1,1076,1081,,,,,
163,,HISPANIC,1082-1087,6,HS 4-YEAR GRAD RATE SUBREGION %,F5.1,1082,1087,,,,,
164,,HISPANIC,1088-1093,6,HS 4-YEAR GRAD RATE DISTRICT %,F5.1,1088,1093,,,,,
165,,HISPANIC,1094-1099,6,HS 4-YEAR GRAD RATE STATE % ,F5.1,1094,1099,,,,,
166,,ASIAN,1100-1105,6,HS 4-YEAR GRAD RATE SCHOOL %,F5.1,1100,1105,,,,,
167,,ASIAN,1106-1111,6,HS 4-YEAR GRAD RATE SUBREGION %,F5.1,1106,1111,,,,,
168,,ASIAN,1112-1117,6,HS 4-YEAR GRAD RATE DISTRICT %,F5.1,1112,1117,,,,,
169,,ASIAN,1118-1123,6,HS 4-YEAR GRAD RATE STATE % ,F5.1,1118,1123,,,,,
170,,NATIVE HAWAIIAN AND OTHERS,1124-1129,6,HS 4-YEAR GRAD RATE SCHOOL %,F5.1,1124,1129,,,,,
171,,NATIVE HAWAIIAN AND OTHERS,1130-1135,6,HS 4-YEAR GRAD RATE SUBREGION %,F5.1,1130,1135,,,,,
172,,NATIVE HAWAIIAN AND OTHERS,1136-1141,6,HS 4-YEAR GRAD RATE DISTRICT %,F5.1,1136,1141,,,,,
173,,NATIVE HAWAIIAN AND OTHERS,1142-1147,6,HS 4-YEAR GRAD RATE STATE % ,F5.1,1142,1147,,,,,
174,,NATIVE AMERICAN,1148-1153,6,HS 4-YEAR GRAD RATE SCHOOL %,F5.1,1148,1153,,,,,
175,,NATIVE AMERICAN,1154-1159,6,HS 4-YEAR GRAD RATE SUBREGION %,F5.1,1154,1159,,,,,
176,,NATIVE AMERICAN,1160-1165,6,HS 4-YEAR GRAD RATE DISTRICT %,F5.1,1160,1165,,,,,
177,,NATIVE AMERICAN,1166-1171,6,HS 4-YEAR GRAD RATE STATE % ,F5.1,1166,1171,,,,,
178,,MULTIRACIAL,1172-1177,6,HS 4-YEAR GRAD RATE SCHOOL %,F5.1,1172,1177,,,,,
179,,MULTIRACIAL,1178-1183,6,HS 4-YEAR GRAD RATE SUBREGION %,F5.1,1178,1183,,,,,
180,,MULTIRACIAL,1184-1189,6,HS 4-YEAR GRAD RATE DISTRICT %,F5.1,1184,1189,,,,,
181,,MULTIRACIAL,1190-1195,6,HS 4-YEAR GRAD RATE STATE % ,F5.1,1190,1195,,,,,
182,,LEP,1196-1201,6,HS 4-YEAR GRAD RATE SCHOOL %,F5.1,1196,1201,,,,,
183,,LEP,1202-1207,6,HS 4-YEAR GRAD RATE SUBREGION %,F5.1,1202,1207,,,,,
184,,LEP,1208-1213,6,HS 4-YEAR GRAD RATE DISTRICT %,F5.1,1208,1213,,,,,
185,,LEP,1214-1219,6,HS 4-YEAR GRAD RATE STATE % ,F5.1,1214,1219,,,,,
186,,MIGRANT,1220-1225,6,HS 4-YEAR GRAD RATE SCHOOL %,F5.1,1220,1225,,,,,
187,,MIGRANT,1226-1231,6,HS 4-YEAR GRAD RATE SUBREGION %,F5.1,1226,1231,,,,,
188,,MIGRANT,1232-1237,6,HS 4-YEAR GRAD RATE DISTRICT %,F5.1,1232,1237,,,,,
189,,MIGRANT,1238-1243,6,HS 4-YEAR GRAD RATE STATE % ,F5.1,1238,1243,,,,,
190,,IEP,1244-1249,6,HS 4-YEAR GRAD RATE SCHOOL %,F5.1,1244,1249,,,,,
191,,IEP,1250-1255,6,HS 4-YEAR GRAD RATE SUBREGION %,F5.1,1250,1255,,,,,
192,,IEP,1256-1261,6,HS 4-YEAR GRAD RATE DISTRICT %,F5.1,1256,1261,,,,,
193,,IEP,1262-1267,6,HS 4-YEAR GRAD RATE STATE % ,F5.1,1262,1267,,,,,
194,,LOW INCOME,1268-1273,6,HS 4-YEAR GRAD RATE SCHOOL %,F5.1,1268,1273,,,,,
195,,LOW INCOME,1274-1279,6,HS 4-YEAR GRAD RATE SUBREGION %,F5.1,1274,1279,,,,,
196,,LOW INCOME,1280-1285,6,HS 4-YEAR GRAD RATE DISTRICT %,F5.1,1280,1285,,,,,
197,,LOW INCOME,1286-1291,6,HS 4-YEAR GRAD RATE STATE % ,F5.1,1286,1291,,,,,
198,,ALL,1292-1297,6,HS 5-YEAR GRAD RATE SCHOOL %,F5.1,1292,1297,,,,,
199,,ALL,1298-1303,6,HS 5-YEAR GRAD RATE SUBREGION %,F5.1,1298,1303,,,,,
200,,ALL,1304-1309,6,HS 5-YEAR GRAD RATE DISTRICT %,F5.1,1304,1309,,,,,
201,,ALL,1310-1315,6,HS 5-YEAR GRAD RATE STATE % ,F5.1,1310,1315,,,,,
202,,MALE,1316-1321,6,HS 5-YEAR GRAD RATE SCHOOL %,F5.1,1316,1321,,,,,
203,,MALE,1322-1327,6,HS 5-YEAR GRAD RATE SUBREGION %,F5.1,1322,1327,,,,,
204,,MALE,1328-1333,6,HS 5-YEAR GRAD RATE DISTRICT %,F5.1,1328,1333,,,,,
205,,MALE,1334-1339,6,HS 5-YEAR GRAD RATE STATE % ,F5.1,1334,1339,,,,,
206,,FEMALE,1340-1345,6,HS 5-YEAR GRAD RATE SCHOOL %,F5.1,1340,1345,,,,,
207,,FEMALE,1346-1351,6,HS 5-YEAR GRAD RATE SUBREGION %,F5.1,1346,1351,,,,,
208,,FEMALE,1352-1357,6,HS 5-YEAR GRAD RATE DISTRICT %,F5.1,1352,1357,,,,,
209,,FEMALE,1358-1363,6,HS 5-YEAR GRAD RATE STATE % ,F5.1,1358,1363,,,,,
210,,WHITE,1364-1369,6,HS 5-YEAR GRAD RATE SCHOOL %,F5.1,1364,1369,,,,,
211,,WHITE,1370-1375,6,HS 5-YEAR GRAD RATE SUBREGION %,F5.1,1370,1375,,,,,
212,,WHITE,1376-1381,6,HS 5-YEAR GRAD RATE DISTRICT %,F5.1,1376,1381,,,,,
213,,WHITE,1382-1387,6,HS 5-YEAR GRAD RATE STATE % ,F5.1,1382,1387,,,,,
214,,BLACK,1388-1393,6,HS 5-YEAR GRAD RATE SCHOOL %,F5.1,1388,1393,,,,,
215,,BLACK,1394-1399,6,HS 5-YEAR GRAD RATE SUBREGION %,F5.1,1394,1399,,,,,
216,,BLACK,1400-1405,6,HS 5-YEAR GRAD RATE DISTRICT %,F5.1,1400,1405,,,,,
217,,BLACK,1406-1411,6,HS 5-YEAR GRAD RATE STATE % ,F5.1,1406,1411,,,,,
218,,HISPANIC,1412-1417,6,HS 5-YEAR GRAD RATE SCHOOL %,F5.1,1412,1417,,,,,
219,,HISPANIC,1418-1423,6,HS 5-YEAR GRAD RATE SUBREGION %,F5.1,1418,1423,,,,,
220,,HISPANIC,1424-1429,6,HS 5-YEAR GRAD RATE DISTRICT %,F5.1,1424,1429,,,,,
221,,HISPANIC,1430-1435,6,HS 5-YEAR GRAD RATE STATE % ,F5.1,1430,1435,,,,,
222,,ASIAN,1436-1441,6,HS 5-YEAR GRAD RATE SCHOOL %,F5.1,1436,1441,,,,,
223,,ASIAN,1442-1447,6,HS 5-YEAR GRAD RATE SUBREGION %,F5.1,1442,1447,,,,,
224,,ASIAN,1448-1453,6,HS 5-YEAR GRAD RATE DISTRICT %,F5.1,1448,1453,,,,,
225,,ASIAN,1454-1459,6,HS 5-YEAR GRAD RATE STATE % ,F5.1,1454,1459,,,,,
226,,NATIVE HAWAIIAN AND OTHERS,1460-1465,6,HS 5-YEAR GRAD RATE SCHOOL %,F5.1,1460,1465,,,,,
227,,NATIVE HAWAIIAN AND OTHERS,1466-1471,6,HS 5-YEAR GRAD RATE SUBREGION %,F5.1,1466,1471,,,,,
228,,NATIVE HAWAIIAN AND OTHERS,1472-1477,6,HS 5-YEAR GRAD RATE DISTRICT %,F5.1,1472,1477,,,,,
229,,NATIVE HAWAIIAN AND OTHERS,1478-1483,6,HS 5-YEAR GRAD RATE STATE % ,F5.1,1478,1483,,,,,
230,,NATIVE AMERICAN,1484-1489,6,HS 5-YEAR GRAD RATE SCHOOL %,F5.1,1484,1489,,,,,
231,,NATIVE AMERICAN,1490-1495,6,HS 5-YEAR GRAD RATE SUBREGION %,F5.1,1490,1495,,,,,
232,,NATIVE AMERICAN,1496-1501,6,HS 5-YEAR GRAD RATE DISTRICT %,F5.1,1496,1501,,,,,
233,,NATIVE AMERICAN,1502-1507,6,HS 5-YEAR GRAD RATE STATE % ,F5.1,1502,1507,,,,,
234,,MULTIRACIAL,1508-1513,6,HS 5-YEAR GRAD RATE SCHOOL %,F5.1,1508,1513,,,,,
235,,MULTIRACIAL,1514-1519,6,HS 5-YEAR GRAD RATE SUBREGION %,F5.1,1514,1519,,,,,
236,,MULTIRACIAL,1520-1525,6,HS 5-YEAR GRAD RATE DISTRICT %,F5.1,1520,1525,,,,,
237,,MULTIRACIAL,1526-1531,6,HS 5-YEAR GRAD RATE STATE % ,F5.1,1526,1531,,,,,
238,,LEP,1532-1537,6,HS 5-YEAR GRAD RATE SCHOOL %,F5.1,1532,1537,,,,,
239,,LEP,1538-1543,6,HS 5-YEAR GRAD RATE SUBREGION %,F5.1,1538,1543,,,,,
240,,LEP,1544-1549,6,HS 5-YEAR GRAD RATE DISTRICT %,F5.1,1544,1549,,,,,
241,,LEP,1550-1555,6,HS 5-YEAR GRAD RATE STATE % ,F5.1,1550,1555,,,,,
242,,MIGRANT,1556-1561,6,HS 5-YEAR GRAD RATE SCHOOL %,F5.1,1556,1561,,,,,
243,,MIGRANT,1562-1567,6,HS 5-YEAR GRAD RATE SUBREGION %,F5.1,1562,1567,,,,,
244,,MIGRANT,1568-1573,6,HS 5-YEAR GRAD RATE DISTRICT %,F5.1,1568,1573,,,,,
245,,MIGRANT,1574-1579,6,HS 5-YEAR GRAD RATE STATE % ,F5.1,1574,1579,,,,,
246,,IEP,1580-1585,6,HS 5-YEAR GRAD RATE SCHOOL %,F5.1,1580,1585,,,,,
247,,IEP,1586-1591,6,HS 5-YEAR GRAD RATE SUBREGION %,F5.1,1586,1591,,,,,
248,,IEP,1592-1597,6,HS 5-YEAR GRAD RATE DISTRICT %,F5.1,1592,1597,,,,,
249,,IEP,1598-1603,6,HS 5-YEAR GRAD RATE STATE % ,F5.1,1598,1603,,,,,
250,,LOW INCOME,1604-1609,6,HS 5-YEAR GRAD RATE SCHOOL %,F5.1,1604,1609,,,,,
251,,LOW INCOME,1610-1615,6,HS 5-YEAR GRAD RATE SUBREGION %,F5.1,1610,1615,,,,,
252,,LOW INCOME,1616-1621,6,HS 5-YEAR GRAD RATE DISTRICT %,F5.1,1616,1621,,,,,
253,,LOW INCOME,1622-1627,6,HS 5-YEAR GRAD RATE STATE % ,F5.1,1622,1627,,,,,
ACT DATA FOR ALL STUDENTS TESTED FOR THE SENIOR CLASS OF 2013,,,,,,,,,,,,,
254,,,1628-1632,5,ACT COMP SCHOOL ,F4.1,1628,1632,,,,,
255,,,1633-1637,5,ACT COMP SUBREGION,F4.1,1633,1637,,,,,
256,,,1638-1642,5,ACT COMP DISTRICT ,F4.1,1638,1642,,,,,
257,,,1643-1647,5,ACT COMP STATE ,F4.1,1643,1647,,,,,
258,,,1648-1652,5,ACT ENGL SCHOOL SCORE ,F4.1,1648,1652,,,,,
259,,,1653-1657,5,ACT ENGL SUBREGION,F4.1,1653,1657,,,,,
260,,,1658-1662,5,ACT ENGL DISTRICT SCORE ,F4.1,1658,1662,,,,,
261,,,1663-1667,5,ACT ENGL STATE SCORE ,F4.1,1663,1667,,,,,
262,,,1668-1672,5,ACT MATH SCHOOL SCORE ,F4.1,1668,1672,,,,,
263,,,1673-1677,5,ACT MATH SUBREGION,F4.1,1673,1677,,,,,
264,,,1678-1682,5,ACT MATH DISTRICT SCORE ,F4.1,1678,1682,,,,,
265,,,1683-1687,5,ACT MATH STATE SCORE ,F4.1,1683,1687,,,,,
266,,,1688-1692,5,ACT READ SCHOOL SCORE ,F4.1,1688,1692,,,,,
267,,,1693-1697,5,ACT READ SUBREGION,F4.1,1693,1697,,,,,
268,,,1698-1702,5,ACT READ DISTRICT SCORE ,F4.1,1698,1702,,,,,
269,,,1703-1707,5,ACT READ STATE SCORE ,F4.1,1703,1707,,,,,
270,,,1708-1712,5,ACT SCIE SCHOOL SCORE ,F4.1,1708,1712,,,,,
271,,,1713-1717,5,ACT SCIE SUBREGION,F4.1,1713,1717,,,,,
272,,,1718-1722,5,ACT SCIE DISTRICT SCORE ,F4.1,1718,1722,,,,,
273,,,1723-1727,5,ACT SCIE STATE SCORE ,F4.1,1723,1727,,,,,
274,,,1728-1733,6,% READY FOR COLLEGE COURSE WORK - SCHOOL,F5.1,1728,1733,,,,,
275,,,1734-1739,6,% READY FOR COLLEGE COURSE WORK - SUBREGION,F5.1,1734,1739,,,,,
276,,,1740-1745,6,% READY FOR COLLEGE COURSE WORK - DISTRICT,F5.1,1740,1745,,,,,
277,,,1746-1751,6,% READY FOR COLLEGE COURSE WORK - STATE,F5.1,1746,1751,,,,,
INSTRUCTIONAL SETTING,,,,,,,,,,,,,
278,,,1752-1756,5, AVG CLASS SIZE - SCHOOL (KG),F4.1,1752,1756,,,,,
279,,,1757-1761,5, AVG CLASS SIZE - SUBREGION (KG),F4.1,1757,1761,,,,,
